店舗名,URL,住所
iクレーン 越谷店,https://icrane-koshigaya.com/,埼玉県越谷市大房944
アソビクルハンターズ 川越的場店,-,埼玉県川越市的場新町21-1
アソビクルハンターズ 川越的場店,-,埼玉県川越市的場新町21-1
ウェアハウス 三橋店,https://www.geo-online.co.jp/,埼玉県さいたま市西区三橋6丁目955-1
ウェアハウス 草加店,https://www.geo-online.co.jp/,埼玉県草加市稲荷2-36-33
エブリデイ 行田店,https://ufo-everyday.com/,埼玉県行田市下忍644-1
エブリデイとってき屋 東京本店,https://everyday-cranegame-world.com/,埼玉県八潮市大字鶴ケ曽根37-1
エブリデイとれトレ屋 桶川店,https://www.toyo-everyday.com/,埼玉県桶川市西2-9-36 マメトラショッピングパーク1F
ぐるぐる大帝国 入間店,https://www.otakara.co.jp/,埼玉県入間市小谷田1212-1
クレーンゲーム倉庫 岩槻店,https://www.parade-inc.net/,埼玉県さいたま市岩槻区本宿12-1
クレーンゲーム倉庫 熊谷店,https://www.parade-inc.net/,埼玉県熊谷市箱田6丁目17-30
ゲームパニック 三郷,https://www.leisurelan.co.jp/,埼玉県三郷市ピアラシティ1-1-200 ピアラシティみさと内
ゲームパニック 川越,https://www.leisurelan.co.jp/store/gpkawagoe.html,埼玉県川越市大字鴨田字荒子358-1
テクモピア 川越店,http://www.wave.koeitecmo.co.jp/Amusement_park/,埼玉県川越市新富町1丁目19-4 本川越ビル
ベネクス 浦和店,https://benex.co.jp/,埼玉県さいたま市桜区大久保領家131-1
ベネクス 川越店,https://benex.co.jp/,埼玉県川越市大字石田本郷202
埼玉レジャーランド 春日部店,https://www.yamazakiya.co.jp/,埼玉県春日部市増富163-1
埼玉レジャーランド 川越店,https://www.yamazakiya.co.jp/,埼玉県川越市新富町1丁目19-4
万代書店 岩槻店,https://mandai-iwatsuki.com/,埼玉県さいたま市岩槻区城町2丁目7-35
万代書店 熊谷店,https://mandai-kumagaya.com/,埼玉県熊谷市石原418-1
万代書店 川越店,https://mandai-kawagoe.com/,埼玉県川越市泉町3-1
サープラ鈴鹿あそびタウン,https://3rd-planet.jp/,三重県鈴鹿市庄野羽山4丁目1-2 イオンモール鈴鹿 2F
GiGOクレーンゲームオアシス イオンモール桑名,https://contents.gendagigo.jp/cranegame-oasis/,三重県桑名市新西方1-22 イオンモール桑名
アピナ 四日市店,https://www.kyowa-corp.co.jp/,三重県四日市市泊小柳町4-5
アピナ 鈴鹿店,https://www.kyowa-corp.co.jp/,三重県鈴鹿市庄野羽山4-20-1
お宝市番館 三重本店,https://www.otaichi.com/,三重県桑名市大仲新田383
マンガ倉庫 鈴鹿店,https://mangasouko-suzuka.com/,三重県鈴鹿市野町西3-1-1
iクレーン 酒田店,https://otachu-sakata.com/,山形県酒田市ゆたか2-1-1
iクレーン 米沢店,https://otachu-yonezawa.com/,山形県米沢市春日2-13-4
お宝中古市場 山形天童店,https://otakara-tendo.com/,山形県天童市南町1-5-26
お宝中古市場 山形南店,https://otakara-minami.com/,山形県山形市南館西9-17
お宝中古市場 鶴岡店,https://otachu-tsuruoka.com/,山形県鶴岡市文下字久保田1
ソユーゲームフィールド 酒田店,https://soyu-am.jp/,山形県酒田市みずほ2丁目2-1 イオン酒田南店 2F
ソユーゲームフィールド 天童店,https://soyu-am.jp/,山形県天童市芳賀タウン北四丁目1番1号 イオンモール天童 2階
万代書店 山形店,-,山形県山形市成沢西2丁目1-16
アミュージアム 周南店,https://amuseum.jp/store/am_syunan/,山口県周南市久米2867
アミュージアム 新下関店,https://amuseum.jp/store/am_sinsimonoseki/,山口県下関市伊倉新町3-1-1 ゆめシティ3階
サープラ下関あそびタウン,https://3rd-planet.jp/,山口県下関市竹崎町4-4-8 シーモール下関
サープラ山口あそびタウン,https://3rd-planet.jp/,山口県山口市湯田温泉6-8-3
テクモピア 萩店,http://www.wave.koeitecmo.co.jp/Amusement_park/,山口県萩市大字椿字大野2784-1 アトラス萩店 2階
マンガ倉庫 山口店,https://mangasouko-shop.jp/,山口県山口市吉敷下東1-13-28
アミュージアム 河口湖店,https://amuseum.jp/store/am_kawaguchiko/,山梨県南都留郡富士河口湖町船津2986 フォレストモール富士河口湖
アミュージアム 南アルプス店,https://amuseum.jp/store/am_minamialps/,山梨県南アルプス市十五所685-3
アピナ 甲府店,https://www.kyowa-corp.co.jp/,山梨県甲府市国母5-20-24
もってきーな NIRASAKI,https://www.motteki-na.com/,山梨県韮崎市若宮2-2-23 ライフガーデンにらさき内
万代書店 山梨本店,https://mandai-yamanashi.com/,山梨県甲斐市西八幡4415
回遊館 長浜店,-,滋賀県長浜市八幡中山町13
アソベース豊郷店,-,滋賀県犬上郡豊郷町高野客203
アミパラ 草津店,https://amipara.co.jp/,滋賀県草津市新浜町300番地 イオンモール草津(または近隣商業施設)
サープラ鹿児島あそびタウン,https://3rd-planet.jp/,鹿児島県鹿児島市与次郎1-11-1 フレスポジャングルパーク 2F
トレトレ倉庫 川内店,https://mangasouko-kagoshima.com/,鹿児島県薩摩川内市平佐町4282
マンガ倉庫 鹿児島店,-,鹿児島県鹿児島市小松原1-5-17
ソユーゲームフィールド 御所野店,https://soyu-am.jp/,秋田県秋田市御所野地蔵田1-1-1 イオンモール秋田 2F
万代書店 秋田店,-,秋田県秋田市泉菅野2丁目1-1 (万代秋田店)
iクレーン 新発田店,https://otakara-shibata.com/,新潟県新発田市新栄町1-9-6
アピナ 上越店,https://www.kyowa-corp.co.jp/,新潟県上越市富岡3458 上越ウイングマーケットセンター内
アピナ 新潟亀田店,https://www.kyowa-corp.co.jp/,新潟県新潟市江南区鵜ノ子4-466
アピナ 新発田店,https://www.kyowa-corp.co.jp/,新潟県新発田市富塚町1-11-5
アピナ 長岡店,https://www.kyowa-corp.co.jp/,新潟県長岡市堺東町22
おたちゅう 佐渡佐和田店,https://otachu-sadosawada.com/,新潟県佐渡市東大通853
おたちゅう 上越店,https://otakara-joetsu.com/,新潟県上越市富岡539-7
おたちゅう 新潟黒埼店,https://otakara-niigata.com/,新潟県新潟市西区山田3315
おたちゅう 新潟本店,https://otachu-niigata.com/,新潟県新潟市南区下塩俵1812
おたちゅう 赤道店,https://otakara-akamichi.com/,新潟県新潟市東区下木戸1-4-1
おたちゅう 長岡店,https://otakara-nagaoka.com/,新潟県長岡市川崎町1278-1
お宝中古市場 新潟本店,https://www.otachu.com/,新潟県新潟市南区下塩俵1812
お宝中古市場 新発田店,https://www.otachu.com/,新潟県新発田市新栄町1-9-6
サープラ横浜あそびタウン,https://3rd-planet.jp/,神奈川県横浜市都筑区中川中央1-25-1 ノースポート・モール 6F
サープラ港北ニュータウンあそびタウン,https://3rd-planet.jp/,神奈川県横浜市都筑区中川中央2-2-1 ルララこうほく 4F
サープラ湘南藤沢あそびタウン,https://3rd-planet.jp/,神奈川県藤沢市辻堂新町4丁目1-1 湘南モールフィル 2F
Hapipi Land こどもの国,https://www.hapipiland.com/,神奈川県横浜市青葉区奈良1-2-1 WAOこどもの国 2階
アドアーズ 橋本店,https://www.adores.jp/,神奈川県相模原市緑区橋本3-3-1 SING橋本 2F
おたちゅう 相模原店,https://otachu-sagamihara.com/,神奈川県相模原市南区大野台6-14-9
クレハピ 横浜アソビル店,https://asobuild.com/,神奈川県横浜市西区高島2-14-9 アソビル 2F
シルクハット 川崎ダイス,https://matahari-entertainment.co.jp/,神奈川県川崎市川崎区駅前本町8 川崎ダイスビル B2F
シルクハット 本厚木,https://matahari-entertainment.co.jp/,神奈川県厚木市中町2-4-13 本厚木駅前ビル
テクモピア 座間店,http://www.wave.koeitecmo.co.jp/Amusement_park/,神奈川県座間市ひばりが丘4-11-1 イオンモール座間 3階(近隣)
ベネクス 川崎店,https://benex.co.jp/,神奈川県川崎市川崎区鋼管通4-8-3
ベネクス 大和店,https://benex.co.jp/,神奈川県大和市下和田73-1
ベネクス 平塚店,https://benex.co.jp/,神奈川県平塚市四之宮6-10-27
わくわくクレーンゲーム王国,https://wakuwaku-ohkoku.com/,神奈川県相模原市緑区西橋本5-1-1 ラ・フロール橋本 1F
神奈川レジャーランド 厚木店,https://www.yamazakiya.co.jp/,神奈川県厚木市中町1-5-10 厚木ガーデンシティ 4F
大和鑑定団,-,神奈川県大和市下鶴間1468-1
ソユーゲームフィールド シーナシーナ青森店,https://soyu-am.jp/,青森県青森市三好2-3-19 シーナシーナ青森
万代 新青森店,https://mandai-s.jp/,青森県青森市大字石江字高間113-2
アミュージアム 清水店,https://amuseum.jp/store/am_shimizu/,静岡県静岡市清水区袖師町1897-1
サープラ沼津あそびタウン,https://3rd-planet.jp/,静岡県沼津市大手町1-1-5 BiVi沼津 3F
サープラ静岡インターあそびタウン,https://3rd-planet.jp/,静岡県静岡市駿河区中野新田383-3
サープラ富士あそびタウン,https://3rd-planet.jp/,静岡県富士市八代町4-4
アップル新北街道店,-,静岡県静岡市葵区沓谷5-13-4
おたちゅう 沼津店,https://otakara-numazu.com/,静岡県沼津市大岡3810-1
おたちゅう 富士店,https://yume-fujihonten.com/,静岡県富士市青島町199
クレーンゲーム専門店 もってきーな,https://mottekeena.com/,静岡県(複数店舗のため詳細不明)
もってきーな KAKEGAWA,https://www.motteki-na.com/,静岡県掛川市大池2826
もってきーな MAKINOHARA,https://www.motteki-na.com/,静岡県牧之原市細江2091
もってきーな 伊豆の国店,https://www.motteki-na.com/,静岡県伊豆の国市南條744-1
もってきーな 高塚店,https://www.motteki-na.com/,静岡県浜松市中央区高塚町4542-1
もってきーな 清水店,https://www.motteki-na.com/,静岡県静岡市清水区吉川272-1
もってきーな 浜松店,https://www.motteki-na.com/,静岡県浜松市中央区東若林町11-1
もってきーな 浜北店,https://www.motteki-na.com/,静岡県浜松市浜名区小松2783
静岡鑑定団 八幡店,https://shizukan.com/,静岡県静岡市駿河区八幡5-8-3
藤枝鑑定団,https://fujikan.com/,静岡県藤枝市八幡503-1
浜松鑑定団,https://hamakan.com/,静岡県浜松市中央区安新町93
夢大陸 富士本店,https://yumedairiku.com/,静岡県富士市中里2588-2
アミュージアム 小松店,https://amuseum.jp/store/am_komatsu/,石川県小松市清六町315 イオンモール新小松
アミュージアム 津幡店,https://amuseum.jp/store/am_tsubata/,石川県河北郡津幡町北中条1-1 アル・プラザ津幡
トレジャーランド,-,石川県(詳細不明)
トレジャーランド 福久店,https://www.yamazakiya.co.jp/,石川県金沢市福久2-58 イオン金沢店
バイパスレジャーランド 宇ノ気店,https://www.yamazakiya.co.jp/,石川県かほく市内日角2-3
バイパスレジャーランド 加賀店,https://www.yamazakiya.co.jp/,石川県加賀市箱宮町ロ144-1
バイパスレジャーランド 藤江新館,https://www.yamazakiya.co.jp/,石川県金沢市藤江南2-105
浪漫遊 金沢本店,https://www.romanyu.com/,石川県野々市市御経塚3-47
アミュージアム 稲毛店,https://amuseum.jp/store/am_inage/,千葉県千葉市稲毛区長沼町330-50 ワンズモール
アミュージアム 茂原店,https://amuseum.jp/store/am_mobara/,千葉県茂原市八千代3-11-20
Hapipi Land プラッツ五香店,https://www.hapipiland.com/,千葉県松戸市五香8-44-6 プラッツ五香
WonderGOO 茂原店,https://www.wonder.co.jp/amusement/,千葉県茂原市木崎2272
YAZ 野田店,https://www.kyowa-corp.co.jp/,千葉県野田市泉1-1-1
アドアーズ 千葉店,https://www.adores.jp/,千葉県千葉市中央区富士見2-4-1
アピナ 蘇我店,https://www.kyowa-corp.co.jp/,千葉県千葉市中央区川崎町52-7
アミュージアム フルルガーデン八千代店,https://amuseum.jp/store/am_fgyachiyo/,千葉県八千代市村上南1-3-1 フルルガーデン八千代
テクモピア ロックダム公津の杜店,http://www.wave.koeitecmo.co.jp/Amusement_park/,千葉県成田市公津の杜4-5-3 ユアエルム成田
テクモピア 千葉中央店,http://www.wave.koeitecmo.co.jp/Amusement_park/,千葉県千葉市中央区本千葉町15-1 千葉中央ショッピングセンター Mio
もってきーな 佐原東店,https://charahiroba.com/prize/shop/,千葉県香取市(または茨城県稲敷市 詳細不明)
もってきーな 茂原店,https://charahiroba.com/prize/shop/,千葉県茂原市小林1606-10 アスモ2階
千葉レジャーランド 野田店,https://www.yamazakiya.co.jp/,千葉県野田市吉春275-1
千葉鑑定団 酒々井店,https://www.chibakan.jp/,千葉県印旛郡酒々井町上本佐倉130-1
千葉鑑定団 松戸店,https://www.chibakan.jp/,千葉県松戸市松飛台264-2
千葉鑑定団 船橋店,https://www.chibakan.jp/,千葉県船橋市夏見台3-4-8
千葉鑑定団 東金店,https://www.chibakan.jp/,千葉県東金市家之子588-1
千葉鑑定団 八千代店,https://www.chibakan.jp/,千葉県八千代市勝田台南1-18-1
千葉鑑定団 湾岸習志野店,https://www.chibakan.jp/,千葉県習志野市茜浜1-1-1
ラクパラ 堺,-,大阪府堺市(詳細不明)
アミュージアム 岸和田店,https://amuseum.jp/store/am_kishiwada/,大阪府岸和田市港緑町2-1 カンカンベイサイドモール
アミュージアム 枚方店,https://amuseum.jp/store/am_hirakata/,大阪府枚方市須山町83-1
サープラ大阪道頓堀あそびタウン,https://3rd-planet.jp/,大阪府大阪市中央区道頓堀1-4-27
G-pala あべの,https://www.g-pala.com/,大阪府大阪市阿倍野区阿倍野筋3-10-1 あべのベルタ 2F
GAME PANIC 心斎橋ビッグステップ店,https://www.leisurelan.co.jp/,大阪府大阪市中央区西心斎橋1-6-14 BIGSTEP 3F
アミパラ 光明池店,https://amipara.co.jp/,大阪府和泉市室堂町824-36
お宝市番館 OTAICHI!! POP!! WORLD!! 福島店,https://otaichi-pop-world.com/,大阪府大阪市福島区吉野2-15-12
ハンターズ 堺三国ケ丘店,-,大阪府堺市北区百舌鳥梅北町1-25-1
ハンターズ 堺三国ケ丘店,-,大阪府堺市北区百舌鳥梅北町1-25-1
楽市楽座 イオンモール四條畷店,https://rakuichi-rakuza.jp/,大阪府四條畷市砂4-3-2 イオンモール四條畷
アミュージアム 光吉店,https://amuseum.jp/store/am_mitsuyoshi/,大分県大分市宮崎696-1 コムボックス大分 2F
G-pala 日田,https://www.g-pala.com/,大分県日田市大字十二町字新町714-1
トレトレ倉庫 佐伯店,https://mangasouko-kagoshima.com/,大分県佐伯市鶴岡西町1-118
マンガ倉庫 大分東店,-,大分県大分市皆春1571-1
マンガ倉庫 大村店,-,長崎県大村市協和町700
遊ING 時津店,https://youing.com/,長崎県西彼杵郡時津町日並郷2195-53
遊ING 浜町店,-,長崎県長崎市浜町2-35
Hapipi Land 佐久店,https://www.hapipiland.com/,長野県佐久市岩村田1735-1 フレスポ佐久インター内
Hapipi Land 豊科店,https://www.hapipiland.com/,長野県安曇野市豊科南穂高1115 スワンガーデン豊科内
アピナ 塩尻店,https://www.kyowa-corp.co.jp/,長野県塩尻市広丘野村1710-1
アピナ 松本店,https://www.kyowa-corp.co.jp/,長野県松本市双葉5-20 イオン南松本SC 2F
アピナ 上田店,https://www.kyowa-corp.co.jp/,長野県上田市秋和141-1
アピナ 長野川中島店,https://www.kyowa-corp.co.jp/,長野県長野市川中島町御厨981
お宝中古市場 安曇野店,https://otakara-matsumoto.com/,長野県安曇野市豊科南穂高1115 スワンガーデン豊科内
万代書店 諏訪店,https://mandai-suwa.com/,長野県諏訪市四賀2260
万代書店 長野店,https://mandai-nagano.com/,長野県長野市川中島町御厨981
夢大陸 松本店,https://yumedairiku.com/,長野県松本市庄内1-1-6
回遊館 鳥取店,-,鳥取県鳥取市南吉方1-112-1
アミパラ 鳥取店,https://amipara.co.jp/,鳥取県鳥取市千代水1-150-1
お宝市番館 倉吉店,https://otaichi.com/,鳥取県倉吉市海田西町1-1
回遊館 出雲店,https://www.instagram.com/gunma_kaiyukan/,島根県出雲市渡橋町769
アミパラ 松江店,https://amipara.co.jp/,島根県松江市学園1丁目16-29
開放倉庫 斐川店,-,島根県出雲市斐川町荘原2898
アミュージアム モリタウン昭島店,https://amuseum.jp/store/am_mt-akishima/,東京都昭島市田中町562-1 モリタウン内
アミュージアム 大泉店,https://amuseum.jp/store/am_oizumi/,東京都練馬区東大泉2-34-1 オズスタジオシティ
アミュージアム 豊洲店,https://amuseum.jp/store/am_toyosu/,東京都江東区豊洲2-4-9 アーバンドック ららぽーと豊洲
ME TOKYO IKEBUKURO,https://metokyo.com/,東京都豊島区東池袋1-4-6
ME TOKYO SHINJUKU,https://metokyo.com/,東京都新宿区新宿3-37-14
アドアーズ サンシャイン店,https://www.adores.jp/,東京都豊島区東池袋1-14-4 シネマサンシャイン 1～3F
アドアーズ 渋谷店,https://www.adores.jp/,東京都渋谷区宇田川町13-11 KN渋谷1ビル
アドアーズ 町田店,https://www.adores.jp/,東京都町田市原町田6-21-25 大黒屋ビル
アミュージアム OSC店,https://amuseum.jp/store/am_osc/,東京都江東区大島1-2-1
アミュージアム フレスポ若葉台店,https://amuseum.jp/store/am_wakabadai/,東京都稲城市若葉台2-4-2 フレスポ若葉台
エブリデイ多摩ノ国,https://everydaytamanokuni.com/,東京都多摩市落合2-33 クロスガーデン多摩 2階
おたちゅう。 秋葉原店（1?5号店など）,https://otachu.jp/,東京都千代田区外神田 (複数店舗のため詳細略)
キャッチラボ 瑞穂店,https://www.ozam.jp/,東京都西多摩郡瑞穂町高根623
ぐるぐる大帝国 八王子店,https://www.otakara.co.jp/,東京都八王子市越野21-22
クレーンゲーム専門店 Help,-,東京都内 (詳細不明)
クレーンゲーム専門店・遊戯場,http://yuugijoo.iku4.com/,東京都千代田区外神田4-2-6 アキバプレイス
ゲームパニック 秋葉原,https://www.leisurelan.co.jp/store/gpakiba.html,東京都千代田区外神田1-11-11
ゲームパニック 新宿歌舞伎町,https://www.leisurelan.co.jp/store/gpkabuki.html,東京都新宿区歌舞伎町1-21-1 第二東亜会館ビル
